word,day_427,day_428,day_429,day_430
aerobatics,35765,31744,53980,58318
aerobic,16957,20424,9317,8545
aerobically,54051,46470,64888,58631
aerobics,7523,21660,3025,4745
aerodrome,50977,34863,23901,52739
aerodynamic,61183,24100,23448,23960
aerodynamically,73472,35551,59052,45392
aerodyne,64831,58913,75529,73923
aerogel,64770,67387,51107,14552
aeron,70014,58211,60530,19996
aeronaut,66791,74592,70270,81501
aeronautic,50679,75618,70768,71901
aeronautical,53558,56751,23332,71821
aeronautics,54858,67544,38151,57414
aeronomy,48026,72059,53882,65878
aeroplane,12798,29395,16877,6841
aerosol,49812,28077,27118,263
aerosolized,79355,78395,67213,19254
aerospace,35672,45751,18895,15231
aerostat,71576,24478,80142,81424
aes,37544,30589,23821,57518
aeschylus,57822,78967,66517,28551
aesop,32410,25308,46892,7124
aesthete,74472,59831,64618,59646
aesthetical,40501,41861,66990,48342
aesthetically,15689,24232,15594,10188
aesthetician,63150,65157,64008,2834
aestheticism,74120,81397,76280,75077
aet,49817,36724,66352,38440
aether,73980,52009,30487,18348
aetiology,71501,80484,61813,62659
af,16641,35092,16630,27062
afar,11303,16891,6558,15365
afb,25638,29964,6859,45638
afer,28762,41117,41242,18211
aff,30580,30002,29763,61167
affability,65535,60122,69576,44950
affable,13554,30785,31522,10160
affably,42266,42264,69249,68819
affair,203,15327,3354,20066
affaire,11775,33252,41853,42183
affaires,23216,47652,46339,54284
affect,6323,2694,2644,2859
affectation,34192,64870,63167,37723
affection,5033,4324,12750,12942
affectionate,8136,693,20005,9774
affectionately,13237,2991,17202,11302
affective,25564,61403,44134,23700
affectively,57086,64161,81125,27331
afferent,80523,43383,72402,67604
affianced,43937,63964,75517,77964
affiant,66719,58848,68209,64485
afficionado,69779,61727,61610,68838
affidavit,24167,30213,39937,47452
affiliate,7032,9265,7687,8831
affiliation,10535,9008,14332,68652
affine,26484,57866,69728,64707
affinity,9718,23410,26237,8989
affirm,28688,30561,23693,6747
affirmance,34253,30983,66649,77148
affirmation,22199,21771,19112,5666
affirmative,27571,30233,24465,42475
affirmatively,75120,56032,43729,20067
affix,35137,4474,21041,43605
afflict,19053,14233,27088,16286
affliction,28668,23162,32087,10989
affluence,17543,59258,17497,46976
affluent,9540,41147,3391,20730
afford,894,9017,2664,2403
affordable,1265,6718,737,2828
afforestation,63545,34293,38052,69059
affray,46762,77713,71230,74910
affront,40714,33897,49114,8045
afghan,13640,2868,13350,7500
afghani,24082,47642,52606,22810
afghanis,58648,60259,47022,9339
afghanistan,13896,14297,10459,10169
aficionado,7225,40455,23171,16911
aficionados,7913,37619,10120,51547
afield,6331,23219,4217,19655
afire,19848,62609,37140,66526
aflame,38492,59223,41222,62545
aflatoxin,59042,36392,71631,12938
afloat,5091,11835,5854,22672
aflutter,43546,40448,66585,79885
afoot,12409,36372,23591,54712
afore,14626,32856,44633,11097
aforementioned,3773,16644,9458,11905
aforesaid,26020,46176,23150,40933
aforethought,54517,64436,74596,65249
afoul,45198,30824,50799,44554
afraid,2635,3080,4618,4598
afresh,31752,49141,55644,39129
africa,3892,8147,1092,9455
african,2941,2921,1980,6615
africana,37034,9150,38558,33658
africanism,78220,58936,71927,39674
africanist,43119,63241,79487,79848
afrikaans,32368,45791,28218,40852
afrikaner,52355,58649,45711,52969
afro,17655,9009,12681,3696
afshar,80792,24198,72839,74939
aft,6280,14278,12161,57188
afterbirth,53181,49866,78604,17212
afterburner,40495,42020,55938,63301
aftercare,29871,25404,41340,2727
aftereffect,70315,72715,66573,58116
aftereffects,56756,30732,56637,56559
afterglow,24985,23363,16547,26081
afterhours,13227,40743,44938,34936
afterimage,80814,49202,78928,48588
afterimages,78791,58125,72901,50319
afterlife,14000,39487,23409,78672
aftermarket,26470,28664,19043,5372
aftermath,10306,8490,4457,20974
afternoon,46,2558,273,12093
afterschool,2881,16729,20292,49403
aftershave,48342,21083,17769,69
aftershock,35658,20971,28257,32308
aftershocks,23278,19278,25292,24897
